Ranking      ID     OringinalSymmetry     FinalSymmetry      Enthalphy(eV)      OringinalVolume(A^3)      FinalVolume(A^3)
    1         7           147                 176           -112.3855745             197.767                 201.965
    2        75           159                 190           -112.3580094             193.075                   202.1
    3       110           176                 176           -112.3018945             187.216                 199.889
    4         5           147                 176           -112.2872008             177.439                  200.32
    5       107           176                 176           -112.2840944             185.299                 199.577
    6        26           150                 190           -112.2828718             177.369                 199.754
    7       109           176                 176           -112.2566518             193.727                 198.843
    8        37           150                 190           -112.2390631             197.117                 198.366
    9       130           190                 190           -112.2377906             191.653                 198.415
   10        31           150                 190           -112.2212908             170.742                 198.527
   11        92           173                 176           -112.1571905             192.366                 197.252
   12        76           159                 190           -112.1480134             171.247                 197.037
   13        83           159                 190            -112.127962               213.3                 196.122
   14        23           150                 190           -112.1116263             165.486                 196.588
   15        78           159                 190           -112.0945058             186.622                 196.392
   16        88           173                 176           -112.0763755             165.941                 196.172
   17        80           159                 190           -111.9998092             170.923                 195.172
   18        89           173                 176           -111.9919035             167.334                 195.098
   19         6           147                 176           -111.9838695             173.189                  195.19
   20       133           190                 190           -111.9359677             167.283                 194.288
   21       131           190                 190           -111.9330845             174.411                 194.425
   22        79           159                 190           -111.9232161             181.494                 194.443
   23         8           147                 176           -111.8966504             195.015                  194.14
   24       105           194                 176           -111.8928296             171.013                 194.027
   25       129           190                 190           -111.8739219             173.745                 193.865
   26        84           173                 176           -111.8432294             161.501                 193.363
   27       132           190                 190           -111.8226499             166.164                 193.252
   28        87           173                 176           -111.7807262             161.656                 192.829
   29        77           159                 190            -111.758562             163.922                  192.53
   30         9           147                 176           -111.7464887              183.55                 192.909
   31        81           159                 190           -111.7165973             176.354                 192.277
   32        97           174                 176           -111.6360966             158.726                 191.408
   33        90           173                 176           -111.5950007             157.532                 191.116
   34        74           159                 190           -111.5185886             163.599                 190.745
   35        99           174                 190           -111.4362186             160.342                 190.089
   36        98           174                 176           -111.3490884             164.546                  189.86
   37        86           173                 176           -111.2826053             150.255                  188.62
   38       106           176                 176           -111.2785916             160.144                 189.387
   39       134           190                 190           -111.2593318             151.485                 188.418
   40        91           173                 176           -111.1804836             166.472                 188.956
   41        85           173                 176           -111.0992121              153.07                 187.946
   42        18           149                 149           -110.9358438             206.157                 224.061
   43        93           173                 173            -110.663537             248.928                 281.758
   44        96           174                 174           -110.5069809              168.09                 216.959
   45        14           149                 149           -110.4734628             169.881                 216.592
   46        64           158                 158           -110.4311248              167.59                 193.116
   47        67           158                 158           -110.4231818              157.46                  192.87
   48        68           158                 158           -110.3926991             171.838                 191.281
   49        13           149                 149            -110.354563             177.016                 216.039
   50        69           158                 158           -110.3524471             174.332                 190.908
   51       101           174                 174            -110.307732             195.507                  216.55
   52        72           158                 158            -110.289161             186.006                 191.641
   53        63           158                 158           -110.2323088             163.489                 191.071
   54        65           158                 158           -110.1983979              172.02                 189.541
   55        71           158                 158           -110.1027077             176.227                 190.078
   56        73           158                 158           -110.0340405             172.493                 188.253
   57        70           158                 158           -109.9792721             168.825                 189.099
   58        10           147                 164           -109.9451527              188.06                 220.611
   59        66           158                 158           -109.8667312             166.198                 187.025
   60        43           157                 157           -109.7696848             179.738                 203.794
   61        47           157                 157           -109.7657356             176.784                 205.279
   62        54           157                 157           -109.7633711             176.509                 205.161
   63        53           157                 157           -109.5504044              171.83                 198.734
   64        40           150                 150           -109.5431104              179.55                 218.284
   65        58           157                 157           -109.5105569             179.065                 198.206
   66        46           157                 157           -109.4991965               171.5                 198.142
   67        44           157                 157           -109.4985467             176.536                  198.09
   68        41           150                 150           -109.4937564             207.425                 219.862
   69        56           157                 157           -109.4800559              182.68                 197.623
   70        61           158                 158           -109.4144629             203.309                 247.858
   71        30           150                 150           -109.3868837             184.066                 198.006
   72        42           150                 150           -109.3844296             199.166                 218.793
   73       100           174                 174           -109.3783517             214.635                 188.815
   74        50           157                 157           -109.3588083             173.323                 195.939
   75        34           150                 150           -109.3567236             187.878                 197.141
   76       112           188                 188           -109.3526164             178.114                 189.652
   77        45           157                 157           -109.3369506             174.747                 195.458
   78        57           157                 157           -109.3120051             180.939                 195.379
   79        48           157                 157           -109.3103692             161.224                 195.237
   80        55           157                 157           -109.2894417             168.901                 194.863
   81        59           157                 157           -109.2880064             177.988                 194.781
   82        39           150                 150           -109.2548649             189.078                 217.791
   83        62           158                 158           -109.2493843             192.761                  244.04
   84        60           157                 157            -109.230317             171.643                 194.326
   85       113           188                 188           -109.2203969             167.642                 187.941
   86        12           149                 188           -109.2086762             174.967                 187.899
   87        24           150                 150           -109.2007501              168.85                 194.856
   88        25           150                 150           -109.1849826             163.461                 196.726
   89        28           150                 150           -109.1754811             162.489                 194.679
   90        29           150                 150           -109.1740141             161.919                 194.768
   91       103           174                 174           -109.1712522             178.911                 187.234
   92        15           149                 188           -109.1001171             170.142                 186.789
   93       114           188                 188           -109.0729958             173.736                 186.787
   94        32           150                 150           -109.0657858             155.565                 193.596
   95        49           157                 157            -109.057461             171.377                 192.371
   96       111           188                 188           -109.0374147             157.246                 186.101
   97        19           149                 188           -109.0316262             200.788                 186.044
   98        17           149                 188            -109.001168             163.449                 185.873
   99        21           150                 150           -108.9381862             156.676                 191.526
  100        16           149                 188           -108.9375149             153.964                 185.202
  101        33           150                 150           -108.9105065             177.264                 191.245
  102        95           174                 174           -108.8916164             158.121                 184.741
  103       104           174                 174           -108.8814731             170.588                 185.015
  104        22           150                 150           -108.8030872             165.445                 195.347
